,,,,,,,,,,
1/5/2016,1:53,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,71.25,2.18,-155.25,-1, 
1/5/2016,1:53,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,39.54, , 
1/5/2016,1:53,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-115.71,-1,46465.15
1/5/2016,3:05,FP #2S ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  ,83.88,2.28,-191.17,-1, 
1/5/2016,3:05,FP Discount ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  , , ,41.6, , 
1/5/2016,3:05,FP TOTAL ,TA-MORIARTY 1700 US RT 66 WEST  ,MORIARTY ,NM  , , ,-149.57,-1,46314.58
1/5/2016,4:28,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,140.86,2.5,-352.01,-1, 
1/5/2016,4:28,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,16.3,2.86,-46.61, , 
1/5/2016,4:28,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,89.87, , 
1/5/2016,4:28,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-308.75,-1,46004.83
1/5/2016,10:14,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,133.99,1.86,-249.08,-1, 
1/5/2016,10:14,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.27,2.86,-15.07, , 
1/5/2016,10:14,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,10.72, , 
1/5/2016,10:14,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-253.43,-1,45750.4
1/5/2016,12:12,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,90.89,2.38,-216.24,-1, 
1/5/2016,12:12,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,46.63, , 
1/5/2016,12:12,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-169.61,-1,45579.79
1/5/2016,13:43,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,70.72,1.86,-131.48,-1, 
1/5/2016,13:43,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,10.44,2.86,-29.85, , 
1/5/2016,13:43,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,12.96,1.86,-24.09, , 
1/5/2016,13:43,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,6.7, , 
1/5/2016,13:43,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-178.72,-1,45400.07
1/5/2016,13:47,FP RFR ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,7.86,2.38,-18.69,-1, 
1/5/2016,13:47,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,4.02, , 
1/5/2016,13:47,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-14.67,-1,45384.4
1/5/2016,14:00,FP #2S ,PILOT #150 I-70 & US 63  ,HAGERSTOWN ,MD  ,189.35,2.2,-416.39,-1, 
1/5/2016,14:00,FP TOTAL ,PILOT #150 I-70 & US 63  ,HAGERSTOWN ,MD  , , ,-416.39,-1,44967.01
1/5/2016,17:57,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,153.81,2.36,-362.83,-1, 
1/5/2016,17:57,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,115.82, , 
1/5/2016,17:57,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-247.01,-1,44719
1/5/2016,17:59,Load ,  , , , , ,7740.66,-4,52455.66
1/5/2016,18:35,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,91.8,2.15,-197.27,-1, 
1/5/2016,18:35,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,48.2, , 
1/5/2016,18:35,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-149.07,-1,52305.59
1/5/2016,18:36,FP #2S ,TA-JACKSONVILLE SOUTH (FU 1650 COUNTY ROAD 210 W  ,JACKSONVILLE ,FL  ,139.69,2.26,-315.55,-1, 
1/5/2016,18:36,FP OTH ,TA-JACKSONVILLE SOUTH (FU 1650 COUNTY ROAD 210 W  ,JACKSONVILLE ,FL  ,10.54,2.85,-30.03, , 
1/5/2016,18:36,FP RFR ,TA-JACKSONVILLE SOUTH (FU 1650 COUNTY ROAD 210 W  ,JACKSONVILLE ,FL  ,39.9,2.26,-90.14, , 
1/5/2016,18:36,FP Discount ,TA-JACKSONVILLE SOUTH (FU 1650 COUNTY ROAD 210 W  ,JACKSONVILLE ,FL  , , ,72.73, , 
1/5/2016,18:36,FP TOTAL ,TA-JACKSONVILLE SOUTH (FU 1650 COUNTY ROAD 210 W  ,JACKSONVILLE ,FL  , , ,-362.99,-1,51941.6
1/5/2016,18:50,FP OTH ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,10.98,2.85,-31.28, , 
1/5/2016,18:50,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-31.28, ,51910.32
1/5/2016,21:23,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,46.64,2.84,-132.42,-1, 
1/5/2016,21:23,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,44.07, , 
1/5/2016,21:23,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-88.35,-1,51820.97
1/5/2016,22:47,FP #2S ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  ,124.67,2.16,-269.15,-1, 
1/5/2016,22:47,FP Discount ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  , , ,72.81, , 
1/5/2016,22:47,FP TOTAL ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  , , ,-196.34,-1,51623.63
1/5/2016,23:17,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,142.17,2.38,-338.22,-1, 
1/5/2016,23:17,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,69.38, , 
1/5/2016,23:17,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-268.84,-1,51353.79